S,I,R
0.9983173958333332,2.21875e-05,0.0016604166666666666
0.9983008333333333,1.65625e-05,0.0016826041666666667
0.9982873958333333,1.34375e-05,0.0016991666666666665
0.9982755208333333,1.1875e-05,0.0017126041666666665
0.9982636458333333,1.1875e-05,0.0017244791666666665
0.9982517708333333,1.1875e-05,0.0017363541666666666
0.9982392708333333,1.25e-05,0.0017482291666666666
0.9982286458333333,1.0625e-05,0.0017607291666666665
0.998219375,9.270833333333334e-06,0.0017713541666666665
0.9982120833333333,7.291666666666667e-06,0.001780625
0.9982052083333333,6.875e-06,0.0017879166666666666
0.9981982291666667,6.979166666666667e-06,0.0017947916666666665
0.9981914583333333,6.770833333333334e-06,0.0018017708333333334
0.9981847916666667,6.666666666666667e-06,0.0018085416666666666
0.9981782291666668,6.5625e-06,0.0018152083333333334
0.9981719791666667,6.25e-06,0.0018217708333333334
0.9981661458333333,5.833333333333334e-06,0.0018280208333333334
0.9981597916666667,6.354166666666667e-06,0.0018338541666666666
0.9981538541666667,5.9375e-06,0.0018402083333333335
0.9981475,6.354166666666667e-06,0.0018461458333333335
0.9981422916666667,5.208333333333334e-06,0.0018525
